TYPE OF FUEL,EX/IM,CONSUMPTION VALUE
Crude oil and ORF,Export,16027.91
Crude oil and ORF,Import,14134.56
Crude oil and ORF,Net Export,1893.36
LPG,Export,4773.85
LPG,Import,656.17
LPG,Net Export,4117.68
Automotive gasoline,Export,10.95
Automotive gasoline,Import,7718.28
Automotive gasoline,Net Export,-7707.33
Aviation gasoline,Export,0.36
Aviation gasoline,Import,0.00
Aviation gasoline,Net Export,0.36
Aviation turbine fuel,Export,0.53
Aviation turbine fuel,Import,2679.37
Aviation turbine fuel,Net Export,-2678.84
