INDUSTRY,STATE,Electricity
Agriculture,NSW,1.8
Agriculture,VIC,2.4
Agriculture,QLD,1.2
Agriculture,WA,0.7
Agriculture,SA,0.8
Agriculture,TAS,0.4
Agriculture,NT,0.1
Mining,NSW,17.3
Mining,VIC,2.5
Mining,QLD,50.5
Mining,WA,69.1
Mining,SA,7.0
Mining,TAS,1.7
Mining,NT,9.6
Manufacturing,NSW,59.2
Manufacturing,VIC,37.0
Manufacturing,QLD,49.6
Manufacturing,WA,22.8
Manufacturing,SA,8.3
Manufacturing,TAS,21.9
Manufacturing,NT,0.2
Electricity generation,NSW,28.9
Electricity generation,VIC,23.6
Electricity generation,QLD,26.5
Electricity generation,WA,6.9
Electricity generation,SA,6.1
Electricity generation,TAS,2.3
Electricity generation,NT,0.6
Construction,NSW,3.0
Construction,VIC,2.4
Construction,QLD,1.3
Construction,WA,0.5
Construction,SA,0.4
Construction,TAS,0.1
Construction,NT,0.0
Transport,NSW,7.1
Transport,VIC,3.1
Transport,QLD,6.4
Transport,WA,6.5
Transport,SA,0.2
Transport,TAS,0.0
Transport,NT,0.0
Gas Supply,NSW,0.1
Gas Supply,VIC,0.2
Gas Supply,QLD,0.1
Gas Supply,WA,0.2
Gas Supply,SA,0.0
Gas Supply,TAS,0.0
Gas Supply,NT,0.0
Water and waste c,NSW,2.8
Water and waste c,VIC,3.8
Water and waste c,QLD,2.4
Water and waste c,WA,3.8
Water and waste c,SA,2.1
Water and waste c,TAS,0.3
Water and waste c,NT,0.1
Commercial and services d,NSW,69.7
Commercial and services d,VIC,49.0
Commercial and services d,QLD,43.8
Commercial and services d,WA,25.1
Commercial and services d,SA,14.8
Commercial and services d,TAS,7.3
Commercial and services d,NT,4.0
Residential,NSW,81.9
Residential,VIC,52.0
Residential,QLD,53.3
Residential,WA,21.0
Residential,SA,16.9
Residential,TAS,8.1
Other e,NT,2.8
Other e,NSW,0.0
Other e,VIC,0.0
Other e,QLD,0.0
Other e,WA,0.0
Other e,SA,0.0
Other e,TAS,0.0
Other e,NT,0.0
